farm;pig;sex;dtm;adg;mm;ar;lu;pn;epg5;worms;li;ar2
13;271;0;221;450;8;1;1;1;0;0;1;0
11;250;1;219;433;8;1.5;1;1;0;0;1;0
6;124;0;213;482;10;2;1;1;0;0;1;0
11;243;0;199;469;8;1;1;1;0;0;2;0
11;242;0;198;473;8;1;1;1;0;0;2;0
11;241;0;199;467;8;1;1;1;0;0;2;0
10;232;1;180;494;6;0;0;0;0;0;2;0
12;265;1;195;426;10;2.5;0;0;0;0;0;0
10;230;1;197;474;8;1;1;1;0;0;2;0
1;21;1;175;549;20;2.5;1;1;0;0;0;0
1;12;1;195;466;10;2;2;1;0;0;1;0
3;63;0;169;601;10;2;0;0;0;0;1;0
1;4;0;176;612;10;2;0;0;25;0;1;0
11;240;0;200;459;8;1;1;1;0;0;1;0
11;251;1;185;487;6;0.5;1;1;0;0;2;0
3;70;1;176;583;8;1;0;0;0;0;2;0
11;248;0;199;481;8;1.5;1;1;0;0;2;0
6;128;0;211;436;8;1;0;0;0;0;0;0
3;69;1;155;641;12;2.5;0;0;0;0;1;0
9;195;0;191;491;8;1.5;1;1;0;0;2;0
4;94;1;196;446;8;1;0;0;0;0;2;0
5;120;1;175;573;4;0;1;1;0;0;2;0
15;333;1;148;623;4;0;0;0;25;0;2;0
12;259;0;203;452;6;0;0;0;0;0;1;0
4;98;1;201;463;8;1;0;0;0;0;2;0
1;1;0;209;533;8;1;1;1;0;0;1;0
6;141;1;192;491;8;1.5;1;1;0;0;0;0
1;23;1;181;601;16;3;0;0;0;0;1;0
9;198;0;182;483;6;0;1;1;0;0;2;0
2;37;1;188;497;6;0;1;1;0;0;1;0
6;135;1;172;566;16;3.5;2;1;0;0;1;0
9;199;0;176;572;8;1;0;0;0;0;1;0
14;296;0;202;476;12;2.5;1;1;0;0;2;0
2;29;0;167;597;6;0;1;1;0;0;2;0
6;125;0;206;500;10;2;1;1;0;0;1;0
14;306;0;202;478;8;1;0;0;0;0;2;0
14;311;1;203;527;6;0.5;0;0;0;0;2;0
12;269;1;182;544;8;1.5;0;0;25;0;1;0
3;65;1;160;633;20;4.5;0;0;0;0;1;1
12;266;1;196;484;8;1;1;1;0;0;0;0
6;127;0;199;495;8;1.5;1;1;0;0;0;0
3;68;1;153;693;4;0;0;0;0;0;0;0
14;299;0;188;551;8;1.5;0;0;0;0;2;0
12;268;1;245;375;10;2;0;0;0;0;1;0
10;223;0;180;569;8;1.5;0;0;0;0;1;0
11;246;0;213;459;8;1.5;1;1;0;0;1;0
4;78;0;245;385;16;3;1;1;0;0;2;0
10;221;0;183;530;10;2.5;1;1;0;0;0;0
12;258;0;230;372;10;2;1;1;0;0;2;0
2;44;1;151;645;4;0.5;0;0;0;0;1;0
9;207;1;176;551;6;0.5;0;0;0;0;1;0
11;236;0;233;418;8;1;1;1;0;0;0;0
13;278;0;212;495;8;1;0;0;0;0;0;0
6;123;0;213;484;8;1.5;1;1;0;0;1;0
11;237;0;185;498;8;1;0;0;0;0;2;0
9;217;1;163;568;4;0.5;1;1;0;0;1;0
6;140;1;182;517;10;2.5;2;1;0;0;0;0
4;99;1;222;427;8;1;1;1;25;0;2;0
9;211;1;173;520;8;1.5;0;0;0;0;1;0
2;33;0;171;600;8;1;0;0;25;0;1;0
4;82;0;243;407;8;1.5;0;0;0;0;1;0
4;76;0;188;521;8;1;0;0;0;0;1;0
8;190;1;169;570;8;1;0;0;0;0;1;0
10;235;1;183;512;6;0.5;3;1;0;0;2;0
2;31;0;171;570;10;2.5;1;1;0;0;2;0
14;305;0;209;492;8;1;0;0;0;0;2;0
7;153;0;199;526;6;0.5;1;1;225;0;2;0
14;303;0;202;541;2;1.5;0;0;0;0;2;0
15;328;0;182;521;8;1;3;1;12.5;0;2;0
1;5;0;204;553;14;3.5;0;0;0;0;1;0
4;83;0;201;446;8;1;1;1;0;0;2;0
2;27;0;198;495;6;0.5;2;1;0;0;2;0
11;249;1;199;447;8;1.5;1;1;0;0;2;0
5;111;0;182;548;6;0.5;0;0;0;0;2;0
9;197;0;179;494;6;0.5;0;0;0;0;1;0
13;287;1;198;513;8;1;0;0;0;0;0;0
8;166;0;232;317;21;5;1;1;0;0;1;1
2;43;1;157;638;4;0;1;1;0;0;0;0
13;280;0;246;422;10;2.5;0;0;0;0;0;0
9;209;1;177;547;6;0;0;0;0;0;0;0
9;212;1;171;574;10;2;0;0;0;0;0;0
9;216;1;179;509;6;0;0;0;0;0;0;0
12;264;1;224;426;10;2;1;1;0;0;0;0
1;22;1;189;526;10;2.5;1;1;0;0;1;0
13;273;0;247;407;8;1;0;0;0;0;0;0
1;19;1;176;619;8;1.5;1;1;0;0;1;0
5;117;1;177;553;8;1.5;0;0;0;0;2;0
3;59;0;187;558;10;2.5;0;0;0;0;2;0
11;256;1;198;479;6;0;0;0;0;0;1;0
11;245;0;198;474;8;1;0;0;0;0;1;0
1;18;1;160;609;4;0;2;1;0;0;2;0
1;6;0;167;585;16;3;1;1;0;0;1;0
5;104;0;175;549;8;1;1;1;0;0;2;0
4;79;0;229;428;8;1;1;1;0;0;0;0
3;60;0;169;582;8;1;1;1;0;0;1;0
4;89;1;194;488;8;1.5;1;1;0;0;2;0
13;281;0;232;386;8;1;0;0;0;0;0;0
1;9;0;175;538;8;1;1;1;0;0;0;0
5;107;0;168;565;14;3;2;1;0;0;2;0
13;275;0;254;444;8;1;0;0;0;1;0;0
3;64;1;169;600;18;4;0;0;0;1;1;0
14;312;1;189;532;24;5;0;0;0;1;2;1
4;87;1;217;445;8;1;0;0;0;1;1;0
2;39;1;171;561;16;3.5;1;1;0;1;2;0
3;54;0;176;555;5;0;0;0;0;1;2;0
14;300;0;211;430;14;3;1;1;0;1;2;0
6;129;0;228;383;10;2;3;1;0;1;0;0
7;157;1;159;620;10;2;0;0;25;1;2;0
3;67;1;145;640;4;0;0;0;0;1;1;0
13;272;0;243;459;8;1;0;0;0;1;2;0
15;323;0;178;553;4;0.5;0;0;25;1;1;0
1;3;0;204;550;20;4.5;1;1;0;1;1;1
4;80;0;188;526;6;0;1;1;0;1;2;0
12;263;1;225;445;21;5;1;1;0;1;1;1
14;302;0;210;479;21;5;0;0;0;1;2;1
14;319;1;209;468;10;2;1;1;0;1;1;0
14;297;0;201;524;8;1.5;0;0;0;1;2;0
4;100;1;184;542;8;1;1;1;0;1;2;0
4;85;1;195;472;6;0;1;1;0;1;2;0
3;62;0;162;626;4;0.5;0;0;0;1;2;0
9;218;1;180;513;8;1;1;1;0;1;1;0
3;50;0;166;567;14;3;0;0;0;1;1;0
1;20;1;176;580;8;1;1;1;0;1;2;0
8;183;1;190;526;21;5;3;1;0;1;2;1
3;53;0;152;644;4;0.5;0;0;0;1;0;0
3;72;1;176;568;18;2.5;1;1;0;1;1;0
6;142;1;193;551;8;1;1;1;0;1;0;0
14;315;1;189;532;14;3.5;0;0;0;2;2;0
2;34;0;171;593;6;0;0;0;50;2;1;0
15;335;1;156;572;4;0;0;0;25;2;1;0
7;158;1;174;542;6;0;0;0;75;2;2;0
10;228;0;201;454;8;1.5;1;1;200;2;1;0
7;151;0;175;535;8;1.5;1;1;0;2;2;0
3;49;0;166;595;4;0;0;0;0;2;0;0
8;191;1;184;517;14;3.5;2;1;25;2;1;0
8;174;0;207;483;21;5;1;1;0;2;2;1
5;118;1;182;524;8;1.5;1;1;0;2;1;0
3;58;0;166;626;6;0.5;0;0;0;2;1;0
15;332;1;148;660;4;0.5;0;0;12.5;2;2;0
6;130;0;208;466;8;1.5;1;1;0;2;0;0
14;317;1;188;528;10;2.5;1;1;0;2;1;0
2;41;1;167;614;8;1.5;0;0;0;2;1;0
6;138;1;206;500;12;2.5;2;1;0;2;1;0
1;26;1;175;569;8;2;3;1;100;2;0;0
7;145;0;188;538;8;1.5;1;1;12.5;2;1;0
6;131;0;199;512;12;2.5;1;1;0;2;1;0
1;24;1;175;626;8;1;2;1;0;2;0;0
14;307;0;203;512;21;5;0;0;25;3;0;1
14;308;1;209;402;21;5;1;1;0;3;2;1
2;46;1;156;628;6;0.5;1;1;12.5;3;1;0
8;186;1;212;474;21;5;1;1;0;3;1;1
14;313;1;203;515;21;5;1;1;0;3;2;1
1;7;0;181;574;8;1;1;1;0;3;1;0
13;276;0;241;418;10;2;1;1;100;3;2;0
8;179;0;214;460;8;1.5;1;1;0;3;1;0
2;30;0;177;569;6;0.5;1;1;50;4;1;0
8;189;1;171;563;10;2;2;1;75;4;2;0
8;187;1;185;567;10;2.5;0;0;0;4;2;0
7;152;0;194;510;4;0;2;1;75;4;2;0
8;168;0;234;399;21;5;0;0;50;4;1;1
8;188;1;184;570;10;2.5;3;1;75;4;2;0
14;309;1;188;538;8;1;2;1;0;4;1;0
7;161;1;160;688;6;0;0;0;25;4;2;0
5;102;0;161;619;6;0;2;1;250;4;1;0
15;321;0;156;581;4;0.5;0;0;25;4;2;0
8;177;0;234;354;21;5;1;1;50;5;1;1
8;167;0;232;381;21;5;1;1;50;5;1;1
3;48;0;166;642;10;2;2;1;50;5;1;0
8;178;0;234;381;21;5;0;0;425;5;1;1
7;156;1;188;559;6;0;1;1;200;5;2;0
8;170;0;234;358;21;5;1;1;200;5;1;1
7;163;1;184;568;6;0.5;0;0;50;5;2;0
2;38;1;171;564;12;2.5;3;1;25;6;1;0
15;325;0;153;659;4;0;0;0;250;7;2;0
5;116;1;177;521;6;0.5;3;1;250;7;1;0
7;160;1;213;458;6;0.5;1;1;25;7;2;0
7;150;0;174;569;4;0;0;0;225;8;2;0
5;112;1;184;579;8;1.5;1;1;50;8;2;0
15;341;1;156;617;8;1;0;0;225;8;2;0
7;165;1;166;589;4;0;1;1;275;9;2;0
5;105;0;191;519;8;1.5;0;0;0;9;2;0
3;51;0;181;500;6;0.5;0;0;325;9;1;0
7;154;0;182;548;8;1;1;1;275;10;2;0
3;66;1;160;609;6;0.5;0;0;325;10;1;0
8;192;1;214;422;21;5;1;1;50;11;2;1
8;193;1;232;339;21;5;1;1;150;11;1;1
5;115;1;175;533;8;1;1;1;125;12;2;0
7;155;0;213;503;8;1;1;1;225;12;1;0
7;162;1;174;633;4;0;0;0;375;14;2;0
15;336;1;167;543;8;1.5;0;0;250;16;2;0
7;159;1;182;571;6;0.5;0;0;325;16;0;0
15;339;1;182;557;4;0;0;0;750;16;1;0
7;149;0;175;561;10;2;1;1;200;17;2;0
2;32;0;167;600;6;0;0;0;500;17;2;0
7;146;0;174;542;6;0;2;1;475;17;1;0
7;147;0;177;552;6;0.5;0;0;50;18;2;0
15;329;0;156;571;4;0.5;0;0;1075;22;1;0
15;338;1;148;657;6;1.5;1;1;1100;22;1;0
13;279;0;221;411;6;0;0;0;175;24;1;0
15;331;0;148;668;21;4;0;0;275;25;1;0
7;148;0;198;522;6;0.5;1;1;825;25;2;0
15;324;0;154;600;6;0;2;1;775;28;2;0
15;327;0;154;576;7;1;0;0;900;39;2;0
15;334;1;148;692;21;5;0;0;500;42;2;1
15;330;0;161;599;6;0;2;1;475;43;2;0
15;326;0;162;556;8;1;0;0;1300;43;1;0
7;164;1;191;578;6;0;0;0;750;47;1;0
2;42;1;156;603;7;1;2;1;2525;50;0;0
15;322;0;155;568;12;2.5;2;1;3025;53;2;0
15;320;0;161;583;10;2;0;0;650;54;2;0
15;337;1;141;707;4;0.5;0;0;1012.5;55;2;0
2;45;1;163;592;8;1;2;1;450;62;2;0
15;340;1;178;534;8;1;0;0;2100;72;2;0
